"zcta5","cbsa","cbsaname","zipname","pop2k","afact"
"ZIP Census Tabulation Area","cbsa","CBSA Name","zipname","Total Pop, 2000 census","zcta5 to cbsa alloc factor"
"51630"," "," ","BLANCHARD",28,1 
"51640"," "," ","HAMBURG",24,1 
"52626","22800","Fort Madison-Keokuk, IA-IL-MO","FARMINGTON",32,1 
"52761","19340","Davenport-Moline-Rock Island, IA-IL","MUSCATINE",231,1 
"60002","16980","Chicago-Naperville-Elgin, IL-IN-WI","ANTIOCH",19442,1 
"60004","16980","Chicago-Naperville-Elgin, IL-IN-WI","ARLINGTON HEIGHT",52735,1 
"60005","16980","Chicago-Naperville-Elgin, IL-IN-WI","ARLINGTON HEIGHT",29183,1 
"60007","16980","Chicago-Naperville-Elgin, IL-IN-WI","ELK GROVE VILLAG",35162,1 
"60008","16980","Chicago-Naperville-Elgin, IL-IN-WI","ROLLING MEADOWS",23318,1 
"60010","16980","Chicago-Naperville-Elgin, IL-IN-WI","BARRINGTON",39819,1 
"60012","16980","Chicago-Naperville-Elgin, IL-IN-WI","CRYSTAL LAKE",9919,1 
"60013","16980","Chicago-Naperville-Elgin, IL-IN-WI","CARY",24226,1 
"60014","16980","Chicago-Naperville-Elgin, IL-IN-WI","CRYSTAL LAKE",44468,1 
"60015","16980","Chicago-Naperville-Elgin, IL-IN-WI","DEERFIELD",27224,1 
"60016","16980","Chicago-Naperville-Elgin, IL-IN-WI","DES PLAINES",58611,1 
"60018","16980","Chicago-Naperville-Elgin, IL-IN-WI","ROSEMONT",29950,1 
"60020","16980","Chicago-Naperville-Elgin, IL-IN-WI","FOX LAKE",6457,1 
"60021","16980","Chicago-Naperville-Elgin, IL-IN-WI","FOX RIVER GROVE",5877,1 
"60022","16980","Chicago-Naperville-Elgin, IL-IN-WI","GLENCOE",8490,1 
"60025","16980","Chicago-Naperville-Elgin, IL-IN-WI","GLENVIEW",49574,1 
"60029","16980","Chicago-Naperville-Elgin, IL-IN-WI","GOLF",354,1 
"60030","16980","Chicago-Naperville-Elgin, IL-IN-WI","GAGES LAKE",32340,1 
"60031","16980","Chicago-Naperville-Elgin, IL-IN-WI","GURNEE",37461,1 
"60033","16980","Chicago-Naperville-Elgin, IL-IN-WI","HARVARD",13164,0.992 
"60033","40420","Rockford, IL","HARVARD",105,0.008 
"60034","16980","Chicago-Naperville-Elgin, IL-IN-WI","HEBRON",1896,1 
"60035","16980","Chicago-Naperville-Elgin, IL-IN-WI","HIGHLAND PARK",29772,1 
"60037","16980","Chicago-Naperville-Elgin, IL-IN-WI","FORT SHERIDAN",901,1 
"60040","16980","Chicago-Naperville-Elgin, IL-IN-WI","HIGHWOOD",5645,1 
"60041","16980","Chicago-Naperville-Elgin, IL-IN-WI","INGLESIDE",9286,1 
"60042","16980","Chicago-Naperville-Elgin, IL-IN-WI","ISLAND LAKE",8877,1 
"60043","16980","Chicago-Naperville-Elgin, IL-IN-WI","KENILWORTH",2617,1 
"60044","16980","Chicago-Naperville-Elgin, IL-IN-WI","LAKE BLUFF",15516,1 
"60045","16980","Chicago-Naperville-Elgin, IL-IN-WI","LAKE FOREST",22248,1 
"60046","16980","Chicago-Naperville-Elgin, IL-IN-WI","LINDENHURST",30225,1 
"60047","16980","Chicago-Naperville-Elgin, IL-IN-WI","LONG GROVE",38168,1 
"60048","16980","Chicago-Naperville-Elgin, IL-IN-WI","LIBERTYVILLE",28562,1 
"60050","16980","Chicago-Naperville-Elgin, IL-IN-WI","MC HENRY",47813,1 
"60053","16980","Chicago-Naperville-Elgin, IL-IN-WI","MORTON GROVE",21668,1 
"60056","16980","Chicago-Naperville-Elgin, IL-IN-WI","MOUNT PROSPECT",56625,1 
"60060","16980","Chicago-Naperville-Elgin, IL-IN-WI","MUNDELEIN",37027,1 
"60061","16980","Chicago-Naperville-Elgin, IL-IN-WI","VERNON HILLS",20328,1 
"60062","16980","Chicago-Naperville-Elgin, IL-IN-WI","NORTHBROOK",40392,1 
